了解。**指定どおりの形式**で出します。

ふゆ, fu yu
ふる, fu ru
ふぐ, fu gu
ぶん, bu n
ぐん, gu n
じゅう, ju u
ぶう, bu u
ふん, fu n
ふんふん, fu n fu n
ぐんぐん, gu n gu n
ぶんぶん, bu n bu n
ぶるん, bu ru n
ぷるん, pu ru n
ぐるん, gu ru n
ゆるん, yu ru n
じゅんじゅん, ju n ju n
じゅうじゅう, ju u ju u
ふうふう, hu u hu u
ぶうぶう, bu u bu u
るんるん, ru n ru n
ゆうゆう, yu u yu u
むむむ, mu mu mu

ぶんぐ, bu n gu
ぶんぐん, bu n gu n

りゅう, ryu u
ちゅう, tyu u
つんつん, tu n tu n
つぶ, tu bu
つぶつぶ, tu bu tu bu
ゆるゆる, yu ru yu ru
ぬるぬる, nu ru nu ru
ぐるぐる, gu ru gu ru
ぶるぶる, bu ru bu ru
ぷるぷる, pu ru pu ru
